command,mean,stddev,median,user,system,min,max
N=10_M=10_zero,0.0051928875,0.00031860229055054757,0.005118125,0.0035587999999999996,0.0009746999999999999,0.004871542,0.005990625
N=10_M=10_one,0.004873287400000001,0.00011726372449900168,0.004837125500000001,0.0035025,0.0008290000000000001,0.004738541000000001,0.005069083
N=10_M=10_many,0.0049367251,0.00010711346867841716,0.004908396000000001,0.0035720999999999995,0.0008351999999999998,0.004796875,0.005124083000000001
N=10_M=25_zero,0.015950245800000002,0.00009225171324371133,0.0159284165,0.013932,0.0013525,0.015858209,0.016158709
N=10_M=25_one,0.0159499918,0.00019875368709860135,0.015939000000000002,0.0139473,0.0013494,0.015652792000000002,0.016343625
N=10_M=25_many,0.016023345799999998,0.00014597447877077684,0.016023979,0.014031799999999997,0.0013511000000000003,0.015708042000000002,0.016203000000000002
N=10_M=50_zero,0.0566953417,0.0003020128222936724,0.05669389600000001,0.0527655,0.0030805999999999997,0.056083541,0.057227625000000004
N=10_M=50_one,0.0564246041,0.00040283394303151926,0.056451375,0.052544999999999994,0.0030231999999999993,0.055741000000000006,0.056988625
N=10_M=50_many,0.0573429584,0.0004288962414850988,0.0573255625,0.0531832,0.0032808000000000004,0.056595042000000005,0.058085250000000005
N=10_M=75_zero,0.135615604,0.0016997407633912885,0.1352559375,0.128106,0.006353099999999999,0.13366150000000002,0.138922917
N=10_M=75_one,0.13473667060000002,0.0011179651572840556,0.134275875,0.12768480000000001,0.0059642,0.133334833,0.13683525000000002
N=10_M=75_many,0.13659488350000001,0.00142424409261507,0.13659804200000003,0.1287872,0.0066718,0.13412358400000002,0.139195666
N=10_M=100_zero,0.24372876680000002,0.002883699792998639,0.24296683350000003,0.22956049999999997,0.012264599999999997,0.241190709,0.248985333
N=10_M=100_one,0.24088660820000002,0.0007246935622638199,0.24118410350000002,0.2276106,0.011584599999999999,0.239627583,0.241687542
N=10_M=100_many,0.24281243740000003,0.0016631369502108661,0.24286633350000003,0.22951569999999996,0.011441199999999999,0.24063945800000003,0.245425583
